filename,caption,tags,actual,predicted,correct
38938347_733010527036345_8595253096376822373_n.jpg,A twist to an Indian dish 'pav bhaji ' Lettuce wrap with veggies. No grain meal. A grain free detox day.,,0,0,True
38941456_317130002179642_4342551852852707328_n.jpg,"My favourite pav bhaji at 'JHAKKAAS PAV BHAJI' , punjabi bagh .
They offer varieties of pav bhaji like plain , masala pav bhaji,cheese pav bhaji etc .and also the vada pao of different varieties and ofcourse of the best taste ever.
.
.
📍Venue: jhakkaas pav bhaji,punjabi bagh near club road 
Taste: 5/5
Worth the money: 5/5
Presentation:4.5/5
.
.
Tag those who love pav bhaji
.
.
Follow @foodiestocks for more amazing updates🌸
.
.
#tastyfood #delhifood #deliciousintaste #pavbhaji #deliciousfood #dilsedelhi #indianfood #foodiesticks #foodstram #foodstocks #foogasm #foodiebybirth #foodiebybirth #foodbeast #foodinsta #foodyforlife #foodography #foodcrush #foodie #foodphotography #foodlover #foodblogger #mycravings #dfordelhi #thatsmellsdelicious #thecravings #thecravingnomad",mycravings foodphotography foodblogger foodie foogasm thecravings indianfood foodography foodinsta foodlover dilsedelhi foodyforlife thecravingnomad foodstocks deliciousintaste delhifood dfordelhi foodiebybirth foodcrush thatsmellsdelicious tastyfood foodiesticks pavbhaji deliciousfood foodstram foodbeast,0,1,False
38957883_599338577128607_6962741774703919104_n.jpg,"What : Tandoori mahkana (fox nuts)
It is a perfect chakna with drinks plus good for people who are on diet as these are roasted having a perfect crunch. 
This cafe has roof top sitting as well which have beautiful interiors and it also serves some good quality sheesha. .
.
.
Where : Uncultured, Greater Kailash, Delhi.
.
.
.
Price : ₹295
.
.
.
#delhi#delhifoodie#streetfooddelhi#pavbhaji#delhi_igers#foodie#foodgasm#foodphotography#foodlover",foodlover foodphotography delhifoodie foodie pavbhaji delhi delhi_igers streetfooddelhi foodgasm,0,0,True
39779040_300201867452173_1883411367671627776_n.jpg,"NEW ACHIJA, GHATKOPAR.
CHEESE PAV BHAJI!!!
The best pav bhaji you ever had, or you will ever have, is waiting for you to get your hands greasy with butter!!
Happy Burping!!
#foodtalkindia #foodpic #food #foodie #foodporn #foodlove #foodblogger #foodcritic #foodphotography #foodphotographer #hungryyoungman #thefoodpunch #trellatalep #indianfoodtales #mumbai#ghatkopar #newlyopened  #youvote_ipost #achija #newachija #pavbhaji #bestintown #cheesse #cheesepavbhaji #buttery #pav #onion",foodphotography foodblogger mumbai cheesepavbhaji foodie foodphotographer hungryyoungman bestintown foodlove newachija pav buttery foodporn foodcritic cheesse newlyopened ghatkopar achija foodpic thefoodpunch indianfoodtales trellatalep food youvote_ipost pavbhaji onion foodtalkindia,1,1,True
39277089_226747934850723_3307498471484817408_n.jpg,"We just couldn't resist some hot spicy Pav Bhaji!! 😍😋
. 
Checked out this small restaurant in Lower Parel named 'Status'. This one is quite famous for its Pani Puri (also popularly known as GolGappa). Since we had already tried the Pani Puri here a couple of times, we decided to check in & try their Pav Bhaji (it was actually the irresistible smell of the hot Pav Bhaji that drew us in). We ordered Cheese Pav Bhaji (Rs 110) along with Jain Pav Bhaji (Rs 95). The Bhaji was served really hot & also the Pav (a type of Indian bread) was soft and melted butter was spread on top of it. Both the Jain & Cheese version of the Bhajis were decent in taste. Although the smell is really tempting, the Pav Bhaji didn't really live up to our expectations. However, it was definitely worth a try!!
. 
Our rating:
Ambience - 🤩🤩
Food - 🤩🤩🤩
Overall - 2.5/5
. 
Tag your Pav Bhaji loving friends with whom you wanna have this delectable Indian dish 😋
. 
You can post your food pics and reviews with #bhukkadsworld. Follow @thebhukkadsworld for more food updates, pics and reviews.
. 
Note: Prices mentioned are latest as of the date of this post
. 
#bhukkadsworld #pav #bhaji #pavbhaji #indianfood #indiansnack #indiandish #mumbaifood #mumbaifoodlovers #mumbaifoodies #instafood #instafoodies #instafoodlovers #instafoodporn #food #foodie #foodgasm #foodporn #foodstagram #lowerparel",mumbaifoodlovers mumbaifood indiandish mumbaifoodies bhaji food indiansnack foodie instafoodlovers pavbhaji pav instafood instafoodies foodporn lowerparel bhukkadsworld indianfood foodgasm foodstagram instafoodporn,0,1,False
39040771_843894492467427_2244683473782571008_n.jpg,"Amul Pavbhaji 😋
.
.
.
Follow @thefoodieengineers .
.
Rating 3.5/5
.
.
.
@pune_food_blogger
@punefoodhunt
@pune__shoutout
#pavbhaji #indianfood #mumbai #foodporn #delhi #food #foodie #yummy #foodphotography #like #mumbaifoodie #india #tasty #streetfood #marathi #pune #foodgasm #foodlover #dost #sodelhi #inspiration #lovestory #delhifoodblogger #pyaar #mumbaikars #bandra #bandstand #dharavi #navimumbaikar",foodphotography mumbai foodie mumbaifoodie indianfood foodlover mumbaikars lovestory bandstand foodporn like pune india pyaar bandra inspiration yummy dost delhifoodblogger foodgasm food tasty navimumbaikar streetfood pavbhaji delhi dharavi sodelhi marathi,1,1,True
39687813_235963710399351_2723231203804053504_n.jpg,"Good Morning fam 😍
.
.
◾What ?
BATATA VADA WITH CRINKLED FRIES 👌
.
One of the sole starter of maharashtra 
with high on red chilly and many other spices ! 🌶
.
.
follow @rassasy_delight  for more updates
.
.
Place - The darzi cafe (3.5/5 ) 
Food - (3.5/5)
Price - 155 bucks 💵
.
.
..
#fries #noida #delhigram #kerala #delhidiaries #delhi #delhi_igers #waiwai #somumbai #sodelhi #bengaluru  #mumbaidiaries #kolkata #sokolkata #delhifoodblogger #panipuri #kolkatadiaries #pavbhaji #kolkatagram #westbengal #delhifoodie #nepal #mumbaifoodie #mumbai #golgappe #golgappa #indianfood #biriyani #chicken",westbengal delhifoodie mumbai sokolkata panipuri mumbaifoodie fries kolkatadiaries waiwai indianfood chicken mumbaidiaries delhidiaries golgappa kolkatagram golgappe kerala nepal delhifoodblogger somumbai kolkata biriyani delhigram pavbhaji delhi bengaluru noida delhi_igers sodelhi,0,0,True
39342350_2146853812197720_7723240385287290880_n.jpg,"Try out Cheese pavbhaji,Spicy paneer pizza, Tripple rice @memrfoody 
#foodfortought #foodblog #foodie #foodtalk #f #foodlover #feedfeed #foodpics #food #foodphotography #foodtalkmumbai #foodporn #foodgasm #foodtalkindia #foodoftheday #foodstargram #cheesepavbhaji #pavbhaji #pizza #paneerpizza #rice #noodles #tripleschezwanfriedrice #mrfoody #mumbai",mrfoody foodphotography cheesepavbhaji mumbai foodie tripleschezwanfriedrice foodpics paneerpizza foodlover foodfortought foodporn foodblog foodstargram rice foodtalk foodtalkmumbai noodles pizza f food foodoftheday feedfeed pavbhaji foodtalkindia foodgasm,1,1,True
39601938_2068926296753475_5237131972253319168_n.jpg,"Masala Pav Bhaji............. Follow @dil_se_chatore for more updates!
.
#dilsechatore#pavbhaji#buttery#creamy
#local#mumbai#foods#look#like#smile#amazing##food #foodporn #yum #instafood #yummy #amazing #instagood #photooftheday #fresh #tasty #foodie #delish #delicious #eating #foodpic #foodpics #eat #hungry #foodgasm #hot #foods",mumbai foodie smile hot eating delicious foodpics amazing delish hungry photooftheday instafood buttery foodporn look fresh like yum creamy yummy instagood foodpic foods food tasty eat pavbhaji dilsechatore local foodgasm,1,1,True
39318287_231516440847353_5723374746070941696_n.jpg,#foodgasm #foodporn #foodlover #southindianfood #masaladosa #pavbhaji #foodphotography #sweetphotography #lovephotography #photolovers #photography #photographer #photooftheday #pictureoftheday #pics #kolkatadiaries #kolkata_calcutta_city #kolkatafoodie,foodlover photooftheday foodphotography lovephotography photolovers pics pavbhaji photographer masaladosa photography pictureoftheday kolkatadiaries foodporn southindianfood foodgasm kolkata_calcutta_city kolkatafoodie sweetphotography,0,0,True
